,Unit,Codes
5818,ESSFxc2/10,NA
5822,ESSFxc2/Gg,NA
5830,ESSFxc3/01,NA
5838,ESSFxc3/02,NA
5847,ESSFxc3/03,NA
5851,ESSFxc3/04,NA
5855,ESSFxc3/05,NA
5866,ESSFxc3/06,NA
5872,ESSFxc3/07,NA
5880,ESSFxc3/08,NA
5884,ESSFxc3/09,NA
5888,ESSFxc3/10,NA
5892,ESSFxcp/00,NA
5932,ESSFxcw/01,NA
5940,ESSFxcw/02,NA
5949,ESSFxcw/03,NA
5953,ESSFxcw/04,NA
5957,ESSFxcw/05,NA
5968,ESSFxcw/06,NA
5974,ESSFxcw/07,NA
5982,ESSFxcw/08,NA
5986,ESSFxcw/09,NA
5990,ESSFxcw/10,NA
5994,ESSFxcw/Gg,NA
6000,ESSFxcy/101,NA
6006,ESSFxcy/102,NA
6010,ESSFxcy/103,NA
6014,ESSFxcy/110,NA
6018,ESSFxcy/111,NA
6022,ESSFxcyp/00,NA
6062,ESSFxcz/101,NA
6068,ESSFxcz/102,NA
6072,ESSFxcz/103,NA
6076,ESSFxcz/110,NA
6080,ESSFxcz/111,NA
6084,ESSFxczp/00,NA
6124,ESSFxhz/101,NA
6130,ESSFxhz/102,NA
6134,ESSFxhz/103,NA
6138,ESSFxhz/110,NA
6142,ESSFxhz/111,NA
6146,ESSFxmy/101,NA
6152,ESSFxmy/102,NA
6156,ESSFxmy/103,NA
6160,ESSFxmy/110,NA
6168,ESSFxmz/101,NA
6174,ESSFxmz/102,NA
6178,ESSFxmz/103,NA
6182,ESSFxmz/110,NA
6186,ESSFxmz/111,NA
6190,ESSFxmzp/00,NA
6230,ESSFxv1/01,NA
6235,ESSFxv1/02,NA
6246,ESSFxv1/03,NA
6250,ESSFxv1/04,NA
6256,ESSFxv1/05,NA
6262,ESSFxv1/06,NA
6266,ESSFxv1/07,NA
6274,ESSFxv1/08,NA
6280,ESSFxv1/09,NA
6284,ESSFxv2/01,NA
6288,ESSFxv2/02,NA
6294,ESSFxv2/03,NA
6298,ESSFxv2/04,NA
6301,ESSFxv2/05,NA
6305,ESSFxv2/06,NA
6309,ESSFxv2/07,NA
6312,ESSFxv2/08,NA
6315,ESSFxv2/09,NA
6321,ESSFxv2/10,NA
6327,ESSFxvp/00,NA
6367,ESSFxvw/01,NA
6372,ESSFxvw/02,NA
6383,ESSFxvw/03,NA
6387,ESSFxvw/04,NA
6393,ESSFxvw/05,NA
6399,ESSFxvw/06,NA
6403,ESSFxvw/07,NA
6411,ESSFxvw/08,NA
6417,ESSFxvw/09,NA
6421,ESSFxxx/101,NA
6427,ESSFxxx/102,NA
6431,ESSFxxx/103,NA
6435,ESSFxxx/110,NA
6439,ESSFxxx/111,NA
6443,ESSFxxz/101,NA
6449,ESSFxxz/102,NA
6453,ESSFxxz/103,NA
6457,ESSFxxz/110,NA
6461,ESSFxxz/111,NA
6465,ESSFxyz/101,NA
6471,ESSFxyz/102,NA
6475,ESSFxyz/103,NA
6479,ESSFxyz/110,NA
6483,ESSFxyz/111,NA
6487,ESSFxyzp/00,NA
6527,FGff/00,NA
6567,FGnf/00,NA
6607,GBDxxw/110,NA
6611,GBDxxw/111,NA
6615,GBDxxw/Gg,NA
6629,GBDxxw/Gs,NA
6664,GBDxxx/110,NA
6668,GBDxxx/111,NA
6672,GBDxxx/Gg,NA
6686,GBDxxx/Gs,NA
6721,GBDxxy/Gs,NA
6756,GOcoz/00,NA
6796,GOcoz/101,NA
6802,GOcoz/102,NA
6810,GOcoz/110,NA
6814,GOcoz/111,NA
6818,HGco/Gg,NA
6853,ICHdhz/101,NA
6859,ICHdhz/102,NA
6863,ICHdhz/103,NA
6867,ICHdhz/110,NA
6875,ICHdk/01,NA
6881,ICHdk/02,NA
6889,ICHdk/03,CA
6893,ICHdk/04,NA
6896,ICHdk/05,NA
6899,ICHdk/06,NA
6902,ICHdk/07,NA
6904,ICHdk/08,NA
6911,ICHdk/09,NA
6918,ICHdm/101,NA
6922,ICHdm/102,NA
6926,ICHdm/103,NA
6930,ICHdm/110,NA
6933,ICHdm/111,NA
6937,ICHdm/112,NA
6943,ICHdmz/101,NA
6949,ICHdmz/102,NA
6957,ICHdmz/110,NA
6961,ICHdmz/111,NA
6965,ICHdw1/101,NA
6970,ICHdw1/102,NA
6974,ICHdw1/103,NA
6977,ICHdw1/104,NA
6982,ICHdw1/110,NA
6984,ICHdw1/111,NA
6987,ICHdw1/112,NA
6991,ICHdw1/113,NA
6995,ICHdw3/101,NA
7001,ICHdw3/102,NA
7007,ICHdw3/103,NA
7011,ICHdw3/110,NA
7014,ICHdw3/111,NA
7018,ICHdw3/112,NA
7024,ICHdw4/101,NA
7027,ICHdw4/102,NA
7032,ICHdw4/103,NA
7036,ICHdw4/104,NA
7041,ICHdw4/110,NA
7045,ICHdw4/111,NA
7048,ICHdw4/112,NA
7051,ICHdwz/101,NA
7057,ICHdwz/102,NA
7061,ICHdwz/103,NA
7065,ICHdwz/110,NA
7069,ICHdwz/111,NA
7073,ICHmc1/01,NA
7078,ICHmc1/02,NA
7085,ICHmc1/03,NA
7089,ICHmc1/04,NA
7094,ICHmc1/05,Fm
7097,ICHmc1/06,NA
7103,ICHmc1a/01,NA
7109,ICHmc1a/02,NA
7112,ICHmc1a/03,NA
7115,ICHmc2/01,NA
7120,ICHmc2/02,NA
7126,ICHmc2/03,NA
7130,ICHmc2/04,NA
7131,ICHmc2/05,NA
7134,ICHmc2/06,Fm
7136,ICHmc2/06,NA
7137,ICHmc2/07,NA
7143,ICHmc2/08,NA
7146,ICHmk1/01,NA
7155,ICHmk1/02,NA
7167,ICHmk1/03,NA
7175,ICHmk1/04,NA
7181,ICHmk1/05,NA
7187,ICHmk1/06,NA
7195,ICHmk1/07,NA
7201,ICHmk1/08,NA
7205,ICHmk2/01,NA
7220,ICHmk2/02,NA
7228,ICHmk2/03,NA
7235,ICHmk2/04,NA
7244,ICHmk2/05,NA
7256,ICHmk2/06,NA
7264,ICHmk3/01,NA
7270,ICHmk3/02,NA
7276,ICHmk3/03,NA
7282,ICHmk3/04,NA
7285,ICHmk3/05,CA
7286,ICHmk3/05,NA
7288,ICHmk3/06,NA
7292,ICHmk3/07,NA
7295,ICHmk4/101,NA
7298,ICHmk4/102,NA
7303,ICHmk4/103,NA
7307,ICHmk4/110,NA
7309,ICHmk4/111,NA
7315,ICHmk4/112,NA
7321,ICHmk4/Ro,NA
7325,ICHmk5/101,NA
7328,ICHmk5/102,NA
7332,ICHmk5/103,NA
7335,ICHmk5/104,NA
7338,ICHmk5/110,NA
7342,ICHmk5/111,NA
7346,ICHmk5/112,NA
7352,ICHmm/01,NA
7356,ICHmm/02,NA
7358,ICHmm/03,NA
7360,ICHmm/04,NA
7363,ICHmm/05,NA
7369,ICHmm/06,NA
7371,ICHmm/07,NA
7373,ICHmm/08,NA
7375,ICHmw1/01,NA
7383,ICHmw1/02,NA
7389,ICHmw1/03,NA
7393,ICHmw1/04,NA
7399,ICHmw1/05,NA
7405,ICHmw1/06,NA
7409,ICHmw1/07,NA
7414,ICHmw2/101,NA
7418,ICHmw2/102,NA
7422,ICHmw2/103,NA
7425,ICHmw2/104,NA
7428,ICHmw2/110,NA
7431,ICHmw2/111,NA
7436,ICHmw2/112,NA
7441,ICHmw2/113,NA
7445,ICHmw2/114,NA
7449,ICHmw3/01,NA
7454,ICHmw3/02,NA
7462,ICHmw3/03,NA
7474,ICHmw3/04,NA
7483,ICHmw3/05,NA
7495,ICHmw3/06,NA
7503,ICHmw3/07,Fm
7510,ICHmw3/08,NA
7516,ICHmw3/09,NA
7524,ICHmw4/101,NA
7529,ICHmw4/102,NA
7532,ICHmw4/103,NA
7535,ICHmw4/104,NA
7539,ICHmw4/110,NA
7542,ICHmw4/111,NA
7545,ICHmw4/112,NA
7549,ICHmw4/113,NA
7553,ICHmw4/114,NA
7559,ICHmw5/101,NA
7562,ICHmw5/102,NA
7567,ICHmw5/103,NA
7569,ICHmw5/104,NA
7572,ICHmw5/110,NA
7575,ICHmw5/111,NA
7579,ICHmw5/112,NA
7583,ICHmw5/113,NA
7585,ICHmwy/101,NA
7591,ICHmwy/102,NA
7595,ICHmwy/103,NA
7599,ICHmwy/110,NA
7603,ICHmwy/111,NA
7607,ICHmwz/101,NA
7613,ICHmwz/102,NA
7617,ICHmwz/103,NA
7621,ICHmwz/110,NA
7625,ICHmwz/111,NA
7629,ICHvc/01,NA
7634,ICHvc/02,NA
7644,ICHvc/03,NA
7649,ICHvc/04,Fh
7653,ICHvc/05,Fm
7657,ICHvc/06,NA
7663,ICHvk1/01,NA
7678,ICHvk1/02,NA
7690,ICHvk1/03,NA
7698,ICHvk1/04,NA
7706,ICHvk1/05,NA
7716,ICHvk1/06,NA
7724,ICHvk2/01,NA
7729,ICHvk2/02,NA
7731,ICHvk2/03,NA
7735,ICHvk2/04,NA
7740,ICHvk2/05,Fh
7744,ICHvk2/06,NA
7746,ICHvk2/07,NA
7749,ICHwc/01,NA
7751,ICHwc/02,NA
7756,ICHwc/03,NA
7760,ICHwc/04,NA
7764,ICHwc/05,NA
7767,ICHwc/06,Fm
7770,ICHwc/07,NA
7775,ICHwc/08,NA
7781,ICHwk1/01,NA
7789,ICHwk1/02,NA
7793,ICHwk1/03,NA
7799,ICHwk1/04,NA
7807,ICHwk1/05,NA
7815,ICHwk1/06,Fm
7823,ICHwk1/07,NA
7831,ICHwk1/08,NA
7837,ICHwk2/01,NA
7844,ICHwk2/02,NA
7848,ICHwk2/03,NA
7852,ICHwk2/04,NA
7859,ICHwk2/05,CA
7862,ICHwk2/06,CA
7865,ICHwk2/07,NA
7867,ICHwk2/08,NA
7873,ICHwk3/01,NA
7881,ICHwk3/02,NA
7883,ICHwk3/03,NA
7885,ICHwk3/04,NA
7889,ICHwk3/05,NA
7892,ICHwk3/06,NA
7896,ICHwk3/07,NA
7898,ICHwk3/08,NA
7901,ICHwk3/09,NA
7903,ICHwk4/01,NA
7909,ICHwk4/02,NA
7913,ICHwk4/03,NA
7917,ICHwk4/04,NA
7921,ICHwk4/05,NA
7926,ICHwk4/06,CA
7928,ICHwk4/07,NA
7931,ICHwk4/08,NA
7937,ICHxw/101,NA
7940,ICHxw/102,NA
7942,ICHxw/103,NA
7944,ICHxw/104,NA
7947,ICHxw/110,NA
7950,ICHxw/111,NA
7954,ICHxw/112,NA
7958,ICHxw/113,NA
7962,ICHxwa/101,NA
7965,ICHxwa/102,NA
7967,ICHxwa/103,NA
7969,ICHxwa/104,NA
7972,ICHxwa/110,NA
7975,ICHxwa/111,NA
7979,ICHxwa/112,NA
7983,ICHxwa/113,NA
7987,ICHxwy/101,NA
7993,ICHxwy/102,NA
7997,ICHxwy/103,NA
8001,ICHxwy/110,NA
8005,ICHxwy/111,NA
8009,IDFdc/01,NA
8017,IDFdc/02,NA
8029,IDFdc/03,NA
8039,IDFdc/04,NA
8049,IDFdc/05,NA
8056,IDFdc/06,NA
8063,IDFdc/07,NA
8070,IDFdc/08,NA
8074,IDFdc/Gg,NA
8076,IDFdhy/101,NA
8082,IDFdhy/102,NA
8086,IDFdhy/103,NA
8090,IDFdhy/110,NA
8094,IDFdhy/111,NA
8098,IDFdk1/01,NA
8106,IDFdk1/02,NA
8110,IDFdk1/03,NA
8124,IDFdk1/04,NA
8136,IDFdk1/05,NA
8144,IDFdk1/06,NA
8150,IDFdk1/07,NA
8158,IDFdk1/Gg,NA
8169,IDFdk2/01,NA
8177,IDFdk2/02,NA
8189,IDFdk2/03,NA
8199,IDFdk2/04,NA
8209,IDFdk2/05,NA
8216,IDFdk2/06,NA
8223,IDFdk2/07,NA
8230,IDFdk2/08,NA
8234,IDFdk2/Gg,NA
8236,IDFdk3/01,NA
8239,IDFdk3/02,NA
8241,IDFdk3/03,NA
8243,IDFdk3/04,NA
8245,IDFdk3/05,CAsp
8251,IDFdk3/06,NA
8253,IDFdk3/07,NA
8255,IDFdk3/08,NA
8257,IDFdk3/09,NA
8265,IDFdk4/01,NA
8269,IDFdk4/02,NA
8273,IDFdk4/03,NA
8277,IDFdk4/04,NA
8281,IDFdk4/05,NA
8285,IDFdk4/06,NA
8287,IDFdk4/07,NA
8289,IDFdk4/08,NA
8291,IDFdk4/09,NA
8294,IDFdk4/10,NA
8302,IDFdk5/101,NA
8305,IDFdk5/102,NA
8308,IDFdk5/103,NA
8311,IDFdk5/104,NA
8314,IDFdk5/110,NA
8318,IDFdk5/111,NA
8323,IDFdk5/Ro,NA
8326,IDFdky/101,NA
8332,IDFdky/102,NA
8336,IDFdky/103,NA
8340,IDFdky/110,NA
8344,IDFdky/111,NA
8348,IDFdm1/01,NA
8356,IDFdm1/02,NA
8371,IDFdm1/03,NA
8382,IDFdm1/04,NA
8390,IDFdm1/05,NA
8401,IDFdm1/06,NA
8409,IDFdm1/07,NA
8419,IDFdm2/101,NA
8422,IDFdm2/102,NA
8424,IDFdm2/103,NA
8427,IDFdm2/104,NA
8431,IDFdm2/110,NA
8435,IDFdm2/111,NA
8441,IDFdm2/112,NA
8447,IDFdm2/Ro,NA
8450,IDFdmy/101,NA
8456,IDFdmy/102,NA
8460,IDFdmy/103,NA
8464,IDFdmy/110,NA
8468,IDFdmy/111,NA
8472,IDFdmz/101,NA
8478,IDFdmz/102,NA
8482,IDFdmz/103,NA
8486,IDFdmz/110,NA
8490,IDFdmz/111,NA
8494,IDFdw/01,NA
8502,IDFdw/d,NA
8510,IDFdw/h,NA
8522,IDFdxz/101,NA
8528,IDFdxz/102,NA
8532,IDFdxz/103,NA
8536,IDFdxz/110,NA
8540,IDFdxz/111,NA
8544,IDFmw1/01,NA
8559,IDFmw1/02,NA
8572,IDFmw1/03,NA
8583,IDFmw1/04,NA
8597,IDFmw1/05,NA
8605,IDFmw1/06,NA
8613,IDFmw2/01,NA
8625,IDFmw2/02,NA
8633,IDFmw2/03,NA
8644,IDFmw2/04,NA
8656,IDFmw2/05,NA
8662,IDFww/01,NA
8668,IDFww/02,NA
8671,IDFww/03,NA
8677,IDFww/04,NA
8681,IDFww/05,NA
8683,IDFww/06,NA
8685,IDFww/07,NA
8688,IDFww1/01,NA
8694,IDFww1/02,NA
8697,IDFww1/03,NA
8703,IDFww1/04,NA
8707,IDFww1/05,NA
8709,IDFww1/06,NA
8711,IDFww1/07,NA
8714,IDFxc/01,NA
8727,IDFxc/02,NA
8735,IDFxc/03,NA
8744,IDFxc/04,NA
8752,IDFxc/05,NA
8758,IDFxc/06,NA
8768,IDFxc/07,NA
8774,IDFxc/08,NA
8778,IDFxh1/01,NA
8786,IDFxh1/02,NA
8795,IDFxh1/03,NA
8801,IDFxh1/04,NA
8810,IDFxh1/05,NA
8818,IDFxh1/06,NA
8824,IDFxh1/07,NA
8830,IDFxh1/08,NA
8838,IDFxh1/09,NA
8846,IDFxh1/Gg,NA
8854,IDFxh2/01,NA
8867,IDFxh2/02,NA
8875,IDFxh2/03,NA
8884,IDFxh2/04,NA
8892,IDFxh2/05,NA
8898,IDFxh2/06,NA
8908,IDFxh2/07,NA
8914,IDFxh2/08,NA
8918,IDFxh4/01,NA
8926,IDFxh4/02,NA
8935,IDFxh4/03,NA
8941,IDFxh4/04,NA
8950,IDFxh4/05,NA
8958,IDFxh4/06,NA
8964,IDFxh4/07,NA
8970,IDFxh4/08,NA
8978,IDFxh4/09,NA
8986,IDFxh4/Gg,NA
8994,IDFxhy/101,NA
9000,IDFxhy/102,NA
9004,IDFxhy/103,NA
9008,IDFxhy/110,NA
9012,IDFxhy/111,NA
9016,IDFxhz/101,NA
9022,IDFxhz/102,NA
9026,IDFxhz/110,NA
9030,IDFxhz/111,NA
9034,IDFxhz/Gg,NA
9042,IDFxk/101,NA
9044,IDFxk/102,NA
9050,IDFxk/103,NA
9054,IDFxk/110,NA
9056,IDFxk/111,NA
9058,IDFxk/112,NA
9063,IDFxk/113,NA
9068,IDFxk/Ro,NA
9072,IDFxm/01,NA
9078,IDFxm/02,NA
9086,IDFxm/03,NA
9090,IDFxm/04,NA
9096,IDFxm/05,NA
9102,IDFxm/06,NA
9105,IDFxm/07,NA
9108,IDFxm/08,NA
9116,IDFxm/09,NA
9124,IDFxm/10,NA
9127,IDFxm/Gg,NA
9136,IDFxw/01,NA
9142,IDFxw/02,NA
9145,IDFxw/03,NA
9148,IDFxw/04,NA
9154,IDFxw/05,CAsp
9157,IDFxw/06,NA
9160,IDFxw/07,NA
9163,IDFxx2/101,NA
9165,IDFxx2/102,NA
9168,IDFxx2/103,NA
9171,IDFxx2/104,NA
9173,IDFxx2/110,NA
9175,IDFxx2/111,NA
9178,IDFxx2/112,NA
9183,IDFxx2/Ro,NA
9186,IDFxxx/101,NA
9192,IDFxxx/110,NA
9196,IDFxxx/111,NA
9200,IDFxxx/Gg,NA
9208,IDFxxy/101,NA
9214,IDFxxy/110,NA
9218,IDFxxy/111,NA
9222,IDFxxy/Gg,NA
9230,IDFxxz/101,NA
9236,IDFxxz/102,NA
9240,IDFxxz/110,NA
9244,IDFxxz/111,NA
9248,IDFxxz/Gg,NA
9252,IDFxyz/101,NA
9258,IDFxyz/102,NA
9262,IDFxyz/103,NA
9266,IDFxyz/110,NA
9270,IDFxyz/111,NA
9274,IGFdmz/101,NA
9280,IGFdmz/102,NA
9284,IGFdmz/103,NA
9288,IGFdmz/110,NA
9292,IGFdmz/111,NA
9296,IGFmmz/101,NA
9302,IGFmmz/102,NA
9306,IGFmmz/103,NA
9310,IGFmmz/110,NA
9314,IGFmmz/111,NA
9318,IGFmwz/101,NA
9324,IGFmwz/102,NA
9328,IGFmwz/103,NA
9332,IGFmwz/110,NA
9340,IMAab/00,NA
9380,IMAco/00,NA
9420,IMAun/00,NA
9460,IMAunp/00,NA
9500,IMAus/00,NA
9540,IWFdcz/101,NA
9546,IWFdcz/102,NA
9550,IWFdcz/103,NA
9554,IWFdcz/110,NA
9558,IWFdcz/111,NA
9562,JPWcop/101,NA
9568,JPWcop/103,NA
9572,JPWcop/110,NA
9576,JPWcop/111,NA
9580,JPWcop/Gg,NA
9584,JPWcoz/00,NA
9624,JPWgbz/101,NA
9630,JPWgbz/103,NA
9634,JPWgbz/110,NA
9638,JPWgbz/111,NA
9642,JPWgbz/Gg,NA
9646,JPWnvz/00,NA
9686,JPWsrm/00,NA
9726,MGPdm/00,NA
9766,MGPmg/00,NA
9806,MGPun/110,NA
9810,MGPun/111,NA
9814,MGPun/Gg,NA
9828,MHdmz/101,NA
9834,MHdmz/102,NA
9842,MHdmz/110,NA
9850,MHdsz/101,NA
9856,MHdsz/102,NA
9860,MHdsz/103,NA
9864,MHdsz/110,NA
9872,MHmm1/01,NA
9881,MHmm1/02,NA
9887,MHmm1/03,NA
9893,MHmm1/04,NA
9896,MHmm1/05,NA
9898,MHmm1/06,NA
9901,MHmm1/07,NA
9903,MHmm1/08,NA
9905,MHmm1/09,NA
9908,MHmm2/01,NA
9917,MHmm2/02,NA
9923,MHmm2/03,NA
9929,MHmm2/04,NA
9932,MHmm2/05,NA
9934,MHmm2/06,NA
9937,MHmm2/07,NA
9939,MHmm2/08,NA
9941,MHmm2/09,NA
9944,MHmmp/d,NA
9959,MHmmp/h,NA
9974,MHmmp/m,NA
9984,MHmmz/101,NA
9990,MHmmz/102,NA
9998,MHmmz/110,NA
10006,MHmsz/101,NA
10012,MHmsz/102,NA
10016,MHmsz/103,NA
10020,MHmsz/110,NA
10028,MHRFmmz/101,NA
10034,MHRFmmz/102,NA
10042,MHRFmmz/110,NA
10050,MHRFmsz/101,NA
10056,MHRFmsz/102,NA
10064,MHRFmsz/110,NA
10072,MHRFwmz/101,NA
10078,MHRFwmz/102,NA
10086,MHRFwmz/110,NA
10094,MHun/d,NA
10109,MHun/h,NA
10124,MHun/m,NA
10134,MHunp/00,NA
10174,MHwh/101,NA
10185,MHwh/102,NA
10191,MHwh/110,NA
10195,MHwh/111,NA
10201,MHwh/Wb53,NA
10204,MHwh1/01,NA
10213,MHwh1/02,NA
10219,MHwh1/03,NA
10225,MHwh1/04,NA
10228,MHwh1/05,NA
10230,MHwh1/06,NA
10233,MHwh1/07,NA
10235,MHwh1/08,NA
10237,MHwh1/09,NA
10240,MHwhp/00,NA
10280,MSab/a,NA
10288,MSab/b,NA
10296,MSab/c,NA
10303,MSab/d,NA
10309,MSab/e,NA
10315,MSab/f,NA
10320,MSab/g,NA
10325,MSab/h,NA
10326,MScoa/00,NA
10366,MScop/00,NA
10406,MSdc1/01,NA
10414,MSdc1/02,NA
10420,MSdc1/03,NA
10430,MSdc1/04,NA
10438,MSdc1/05,NA
10447,MSdc2/01,NA
10453,MSdc2/02,NA
10464,MSdc2/03,NA
10470,MSdc2/04,NA
10476,MSdc2/05,NA
10480,MSdc2/06,NA
10486,MSdc2/07,CAsp
10492,MSdc2/08,NA
10498,MSdc3/01,NA
10504,MSdc3/02,NA
10515,MSdc3/03,NA
10521,MSdc3/04,NA
10527,MSdc3/05,NA
10531,MSdc3/06,NA
10537,MSdc3/07,NA
10543,MSdc3/08,NA
10549,MSdk/101,NA
10552,MSdk/102,NA
10557,MSdk/103,NA
10559,MSdk/104,NA
10565,MSdk/105,NA
10567,MSdk/110,NA
10570,MSdk/111,NA
10576,MSdk/112,NA
10578,MSdk/Ro,NA
10581,MSdm1/01,NA
10592,MSdm1/02,NA
10603,MSdm1/03,NA
10611,MSdm1/04,NA
10622,MSdm1/05,NA
10632,MSdm1/06,NA
10640,MSdm1/07,NA
10650,MSdm1/08,NA
10660,MSdm1/09,NA
10664,MSdm2/01,NA
10674,MSdm2/02,NA
10686,MSdm2/03,NA
10698,MSdm2/04,NA
10707,MSdm2/05,NA
10719,MSdm2/06,NA
10727,MSdm2/07,NA
10735,MSdm3/01,NA
10745,MSdm3/02,NA
10757,MSdm3/03,NA
10769,MSdm3/04,NA
10778,MSdm3/05,NA
10790,MSdm3/06,NA
10798,MSdm3/07,NA
10806,MSdmz/101,NA
10812,MSdmz/102,NA
10816,MSdmz/103,NA
10820,MSdmz/110,NA
10824,MSdmz/111,NA
10828,MSdv/01,NA
10834,MSdv/02,NA
10846,MSdv/03,NA
10850,MSdv/04,NA
10856,MSdv/05,NA
10862,MSdv/06,NA
10865,MSdv/07,NA
10868,MSdv/08,NA
10874,MSdv/09,NA
10880,MSdw/101,NA
10883,MSdw/102,NA
10886,MSdw/103,NA
10889,MSdw/104,NA
10894,MSdw/110,NA
10897,MSdw/111,NA
10903,MSdw/112,NA
10905,MSdw/Ro,NA
10908,MSdwz/101,NA
10914,MSdwz/102,NA
10918,MSdwz/103,NA
10922,MSdwz/110,NA
10926,MSdwz/111,NA
10930,MSmw1/01,NA
10938,MSmw1/02,NA
10946,MSmw1/03,NA
10958,MSmw1/04,NA
10967,MSmw1/05,NA
10973,MSmw1/06,NA
10982,MSmw1/07,NA
10986,MSmw1/08,NA
10990,MSmw2/01,NA
10998,MSmw2/02,NA
11006,MSmw2/03,NA
11018,MSmw2/04,NA
11027,MSmw2/05,NA
11033,MSmw2/06,NA
11042,MSmw2/07,NA
11046,MSmw2/08,NA
11050,MSSDun/110,NA
11054,MSSDun/111,NA
11058,MSSDun/Gg,NA
11072,MSxcy/101,NA
11078,MSxcy/102,NA
11082,MSxcy/103,NA
11086,MSxcy/110,NA
11094,MSxk1/01,NA
11102,MSxk1/02,NA
11114,MSxk1/03,NA
11123,MSxk1/04,NA
11129,MSxk1/05,NA
11140,MSxk1/06,NA
11148,MSxk1/07,NA
11160,MSxk1/08,NA
11171,MSxk1/09,NA
11177,MSxk1/Gg,NA
11184,MSxk1/Gs,NA
11191,MSxk2/01,NA
11199,MSxk2/02,NA
11211,MSxk2/03,NA
11220,MSxk2/04,NA
11226,MSxk2/05,NA
11237,MSxk2/06,NA
11245,MSxk2/07,NA
11257,MSxk2/08,NA
11268,MSxk2/09,NA
11274,MSxk2/Gg,NA
11280,MSxk3/01,NA
11288,MSxk3/02,NA
11300,MSxk3/03,NA
11309,MSxk3/04,NA
11315,MSxk3/05,NA
11326,MSxk3/06,NA
11334,MSxk3/07,NA
11346,MSxk3/08,NA
11357,MSxk3/09,NA
11363,MSxkz/101,NA
11369,MSxkz/102,NA
11373,MSxkz/103,NA
11377,MSxkz/110,NA
11381,MSxkz/111,NA
11385,MSxmz/101,NA
11391,MSxmz/102,NA
11395,MSxmz/103,NA
11399,MSxmz/110,NA
11403,MSxmz/111,NA
11407,MSxv/01,NA
11412,MSxv/02,NA
11416,MSxv/03,NA
11421,MSxv/04,NA
11424,MSxv/05,NA
11427,MSxv/06,NA
11430,MSxv/07,NA
11432,MSxv/08,NA
11440,MSxv/09,NA
11444,MSxvz/101,NA
11450,MSxvz/102,NA
11454,MSxvz/103,NA
11458,MSxvz/110,NA
11462,MSxvz/111,NA
11466,MSxxx/101,NA
11472,MSxxx/102,NA
11480,MSxxx/110,NA
11488,MSxxz/101,NA
11494,MSxxz/102,NA
11498,MSxxz/103,NA
11502,MSxxz/110,NA
11510,PPcoz/00,NA
11550,PPnvz/00,NA
11590,PPorz/101,NA
11596,PPorz/110,NA
11600,PPorz/111,NA
11604,PPorz/Gg,NA
11612,PPpum/101,NA
11618,PPpum/102,NA
11622,PPpum/110,NA
11626,PPpum/111,NA
11630,PPpum/Gg,NA
11634,PPxh1/01,NA
11642,PPxh1/02,NA
11650,PPxh1/03,NA
11658,PPxh1/04,NA
11666,PPxh1/05,NA
11670,PPxh1/06,NA
11676,PPxh1/07,NA
11679,PPxh1/08,NA
11685,PPxh1/Gg,NA
11695,PPxh1/Gs,NA
11701,PPxh2/01,NA
11711,PPxh2/02,NA
11717,PPxh2/03,NA
11726,PPxh2/04,NA
11731,PPxh2/05,NA
11736,PPxh2/06,NA
11742,PPxh2/07,NA
11748,PPxh2/Gg,NA
11761,PPxh3/01,NA
11771,PPxh3/02,NA
11777,PPxh3/03,NA
11787,PPxh3/04,NA
11795,PPxh3/05,NA
11803,PPxh3/06,NA
11813,PPxh3/07,NA
11819,PPxhz/101,NA
11825,PPxhz/102,NA
11829,PPxhz/110,NA
11833,PPxhz/111,NA
11837,PPxhz/Gg,NA
11841,PPxxz/101,NA
11847,PPxxz/102,NA
11851,PPxxz/110,NA
11855,PPxxz/111,NA
11859,PPxxz/Gg,NA
11863,PPxyz/101,NA
11869,PPxyz/102,NA
11873,PPxyz/110,NA
11881,PPxyz/Gg,NA
11885,SASbo/a,NA
11890,SASbo/b,NA
11896,SASbo/c,NA
11902,SASbo/d,NA
11908,SASbo/e,NA
11915,SASbo/f,NA
11919,SASbo/g,NA
11923,SASbo/h,NA
11928,SBAPcp/a,NA
11929,SBAPcp/b,NA
11931,SBAPcp/c,NA
11935,SBAPcp/d,NA
11937,SBAPcp/e,NA
11939,SBAPcp/f,NA
11941,SBAPcp/g,NA
11944,SBAPcp/h,NA
11946,SBAPcp/i,NA
11949,SBAPcp/j,NA
11951,SBAPcp/k,NA
11954,SBAPcp/l,NA
11957,SBAPcp/m,NA
11960,SBAPcp/n,NA
11963,SBAPfp/d,NA
11978,SBAPfp/h,NA
11993,SBAPfp/m,NA
12003,SBPSdc/01,NA
12006,SBPSdc/02,NA
12014,SBPSdc/03,NA
12021,SBPSdc/04,NA
12023,SBPSdc/05,NA
12025,SBPSdc/06,NA
12031,SBPSdc/07,NA
12033,SBPSdc/08,NA
12037,SBPSmc/01,NA
12042,SBPSmc/02,NA
12046,SBPSmc/03,CA
12050,SBPSmc/03,NA
12051,SBPSmc/04,NA
12055,SBPSmc/05,NA
12061,SBPSmc/06,NA
12067,SBPSmc/07,NA
12069,SBPSmk/01,NA
12075,SBPSmk/02,NA
12079,SBPSmk/03,NA
12085,SBPSmk/04,NA
12092,SBPSmk/05,CAsp
12094,SBPSmk/06,NA
12098,SBPSmk/07,NA
12102,SBPSmk/08,NA
